Epoch 0: train_loss=5.5767, train_acc=3.58, val_loss=5.0079, val_acc=8.16, lr=0.001000,
Epoch 1: train_loss=4.5148, train_acc=15.50, val_loss=4.2459, val_acc=20.08, lr=0.001000,
Epoch 2: train_loss=3.8289, train_acc=28.32, val_loss=3.5925, val_acc=33.36, lr=0.000999,
Epoch 3: train_loss=3.3613, train_acc=38.51, val_loss=3.2127, val_acc=42.26, lr=0.000998,
Epoch 4: train_loss=3.0492, train_acc=46.02, val_loss=3.0112, val_acc=46.57, lr=0.000997,
Epoch 5: train_loss=2.8296, train_acc=51.36, val_loss=2.8931, val_acc=49.21, lr=0.000996,
Epoch 6: train_loss=2.6646, train_acc=55.55, val_loss=2.6546, val_acc=55.15, lr=0.000995,
Epoch 7: train_loss=2.5330, train_acc=58.84, val_loss=2.6296, val_acc=55.72, lr=0.000993,
Epoch 8: train_loss=2.4237, train_acc=61.73, val_loss=2.4792, val_acc=60.03, lr=0.000991,
Epoch 9: train_loss=2.3323, train_acc=64.11, val_loss=2.4386, val_acc=60.73, lr=0.000989,
Epoch 10: train_loss=2.2515, train_acc=66.21, val_loss=2.4083, val_acc=61.63, lr=0.000987,
Epoch 11: train_loss=2.1816, train_acc=68.20, val_loss=2.3298, val_acc=63.74, lr=0.000984,
Epoch 12: train_loss=2.1168, train_acc=70.05, val_loss=2.3261, val_acc=63.86, lr=0.000982,
Epoch 13: train_loss=2.0592, train_acc=71.60, val_loss=2.2754, val_acc=65.24, lr=0.000979,
Epoch 14: train_loss=2.0060, train_acc=73.12, val_loss=2.2547, val_acc=65.80, lr=0.000976,
Epoch 15: train_loss=1.9592, train_acc=74.45, val_loss=2.2502, val_acc=66.04, lr=0.000972,
Epoch 16: train_loss=1.9152, train_acc=75.79, val_loss=2.2454, val_acc=66.08, lr=0.000969,
Epoch 17: train_loss=1.8747, train_acc=77.05, val_loss=2.2293, val_acc=66.56, lr=0.000965,
Epoch 18: train_loss=1.8340, train_acc=78.23, val_loss=2.2425, val_acc=66.29, lr=0.000961,
Epoch 19: train_loss=1.8013, train_acc=79.21, val_loss=2.2325, val_acc=66.75, lr=0.000957,
Epoch 20: train_loss=1.7675, train_acc=80.24, val_loss=2.2356, val_acc=66.72, lr=0.000952,
Epoch 21: train_loss=1.7344, train_acc=81.35, val_loss=2.2085, val_acc=67.37, lr=0.000948,
Epoch 22: train_loss=1.7046, train_acc=82.33, val_loss=2.2159, val_acc=67.23, lr=0.000943,
Epoch 23: train_loss=1.6786, train_acc=83.13, val_loss=2.2110, val_acc=67.64, lr=0.000938,
Epoch 24: train_loss=1.6529, train_acc=84.01, val_loss=2.2183, val_acc=67.14, lr=0.000933,
Epoch 25: train_loss=1.6294, train_acc=84.87, val_loss=2.2386, val_acc=66.71, lr=0.000928,
