Class                    Total   Correct   Top1 Acc    Top5 Acc  
00250                    62      11        17.74       79.03     
00463                    67      13        19.40       52.24     
00066                    63      13        20.63       84.13     
00124                    60      13        21.67       65.00     
00419                    61      16        26.23       59.02     
00246                    64      17        26.56       64.06     
00046                    63      17        26.98       79.37     
00054                    63      18        28.57       76.19     
00231                    70      20        28.57       80.00     
00380                    61      18        29.51       78.69     
00166                    50      15        30.00       86.00     
00282                    61      19        31.15       80.33     
00163                    62      20        32.26       61.29     
00494                    64      21        32.81       62.50     
00026                    65      22        33.85       70.77     
00158                    41      14        34.15       58.54     
00238                    63      22        34.92       77.78     
00060                    62      22        35.48       77.42     
00341                    62      22        35.48       62.90     
00266                    63      23        36.51       87.30     
00482                    65      25        38.46       96.92     
00248                    67      26        38.81       82.09     
00381                    64      25        39.06       73.44     
00356                    66      26        39.39       80.30     
00412                    66      26        39.39       72.73     
00068                    64      26        40.62       92.19     
00180                    64      26        40.62       78.12     
00421                    64      26        40.62       70.31     
00206                    59      24        40.68       74.58     
00073                    63      26        41.27       90.48     
00101                    63      26        41.27       92.06     
00499                    53      22        41.51       66.04     
00168                    64      27        42.19       75.00     
00312                    59      25        42.37       86.44     
00118                    63      27        42.86       88.89     
00155                    63      27        42.86       80.95     
00348                    63      27        42.86       84.13     
00189                    65      28        43.08       86.15     
00418                    62      28        45.16       77.42     
00165                    35      16        45.71       82.86     
00170                    63      29        46.03       84.13     
00212                    60      28        46.67       75.00     
00110                    64      30        46.88       89.06     
00424                    66      31        46.97       78.79     
00040                    63      30        47.62       80.95     
00086                    63      30        47.62       85.71     
00242                    63      30        47.62       82.54     
00278                    63      30        47.62       90.48     
00311                    63      30        47.62       85.71     
00360                    63      30        47.62       79.37     
00055                    65      31        47.69       89.23     
00065                    65      31        47.69       73.85     
00433                    65      31        47.69       78.46     
00465                    60      29        48.33       81.67     
00257                    64      31        48.44       78.12     
00082                    61      30        49.18       90.16     
00187                    61      30        49.18       86.89     
00044                    63      31        49.21       73.02     
00067                    63      31        49.21       88.89     
00241                    63      31        49.21       90.48     
00208                    65      32        49.23       89.23     
00358                    65      32        49.23       84.62     
00167                    38      19        50.00       89.47     
00171                    64      32        50.00       79.69     
00198                    60      30        50.00       96.67     
00202                    66      33        50.00       77.27     
00373                    62      31        50.00       88.71     
